stamp_sec,stamp_nanosec,x,y,z,qx,qy,qz,qw,tag_ids
236,679000000,8.867390917704718,-0.6274816401959716,5.458731909589099,0.7114808092425825,0.005771261486481157,0.7026698761341199,-0.004098267199080058,14
237,463000000,8.898197612490112,0.4101191123617659,0.8156865736428651,0.7156797778832623,0.0006854757822473857,0.6984174746562806,0.003875144727608557,14
267,113000000,10.168874949618285,0.5143801631180989,-0.0930791968880289,0.7455058467760979,-0.002032258055122782,0.6664959149750312,-0.00031252431326691854,15
269,946000000,10.484608387894284,0.008963223165311285,1.561092632925331,0.7370333816485699,0.05795102163418387,0.672872049031779,0.025820128950166065,15
270,946000000,10.521117092911165,0.017296434230139407,1.7778552602156061,0.7260022309759633,0.04352002797639365,0.6858470134436492,-0.02531090542206868,15
1046,917000000,8.162190925696942,2.2143970673328526,2.4391635763199524,0.8124000699796147,0.02361170981471996,0.5822620228438545,-0.020482924852795188,"14,15"
1047,617000000,8.163688711611224,2.1466593933803506,2.562575735508503,0.8123951063329885,0.023843652983563755,0.582252295985087,-0.020686595628725768,14
1052,234000000,8.231482101154482,2.1543215926791444,2.646391248189775,0.8178096707368477,0.021285043318625005,0.5747848641196401,-0.018885162408077735,14
1052,735000000,8.230627790297815,2.153164993320595,2.647147766482758,0.8177936322810422,0.021321204127116886,0.5748055421031082,-0.01890952201144325,14
1053,536000000,8.230583025574994,2.1539685128480297,2.6466538645560096,0.8177347726320418,0.021430807413671635,0.5748843569458187,-0.0189351065751779,14
1054,116000000,8.222263762494466,2.1522348192700176,2.6435991591933874,0.8178064458550375,0.021228697625755813,0.5747935778938952,-0.018822920256973512,14
1054,768000000,8.231462188360545,2.1545862741471593,2.646231937754506,0.8180077615833194,0.021387781850898513,0.5744991243733388,-0.018884408150964725,14
1055,349000000,8.232085551252052,2.1556635006994376,2.6455163051966952,0.8179977751542791,0.021368468618052996,0.5745138445229775,-0.018891025461756493,14
1056,18000000,8.233590247612527,2.1559128324386845,2.6460254588126086,0.8180830673849383,0.021465110611233587,0.5743856564077113,-0.018985826228542675,14
1058,616000000,8.230311496971368,2.159344615560386,2.634142276926662,0.8160505261079677,0.020249471732020987,0.5773569490589626,-0.01761962277717069,14
1059,966000000,8.22962517523914,2.1494447346082066,2.645881295018658,0.8174847677767687,0.0225346315638961,0.5751639091674302,-0.01993294821349741,14
1060,634000000,8.226685892564134,2.157729790696031,2.6348330879469306,0.8160182813887046,0.02008228121401247,0.5774168051234827,-0.017340691498788478,14
1061,249000000,8.228047540981619,2.153013786725724,2.6469107728900267,0.8178463470400016,0.021449897358827276,0.5747262617560518,-0.018893876905898863,14
1061,916000000,8.231096401152104,2.1570119286959235,2.6421003155414797,0.8179127043578243,0.021228871522332833,0.5746434441834233,-0.018789761067436742,14
1062,549000000,8.226292308878316,2.1556151080363937,2.6404429213676943,0.817899573364684,0.02131089478172973,0.5746523701567149,-0.01899439724602425,14
1063,284000000,8.167547568981659,2.1441386480060753,2.590241597793593,0.8152682379937826,0.026217052986236666,0.5780428739831034,-0.02273328151816194,14
1063,366000000,8.22763364600987,2.1510331559650657,2.640166942278149,0.817485821602294,0.02262460031191187,0.5751587443658582,-0.01993684326662548,14
1063,999000000,8.222602853520529,2.1478816540005408,2.640114790674025,0.817475322987669,0.022706558443573357,0.5751668073699004,-0.02004126267904743,14
1064,403000000,8.226109256012128,2.1536415781438585,2.641975155821001,0.8180569482188462,0.021339160697349816,0.5744301716703657,-0.018906283779601282,14
1064,449000000,8.223007553979652,2.1360911784930305,2.633895431801613,0.8154361176602978,0.024206059531754906,0.5779556592210201,-0.021101200710913905,14
1064,849000000,8.250686643755781,2.304821523872742,2.243035247529364,0.7974612189230218,0.0055171764915229494,0.6033008188319678,0.0072997995894983556,14
1064,967000000,8.204749760501201,2.2016021085240682,2.486980591228555,0.8119533874918384,0.0070409751198015754,0.5836674655683872,0.0037961621232719717,14
1065,33000000,8.284683163831819,2.2545273569735595,2.5015650487173926,0.8181598855766337,0.021979079920795494,0.5742710077951318,0.018550775860553047,14
1065,249000000,8.143150180926373,2.206836910657975,2.355674441915726,0.8117556623284673,0.04258655683225351,0.5815012961654684,0.03309641087375861,14
1065,317000000,8.12539373278884,2.210869370795765,2.346963900793879,0.8153494961224426,0.0443763606108501,0.5766467122166758,0.026730265272024985,14
1065,383000000,8.128618364076459,2.2209837567657154,2.324161388132039,0.8128943093486268,0.03896439325166243,0.580466824183847,0.027255896776067164,14
1065,483000000,8.236333336009388,2.237577085979301,2.400781575565005,0.8143755813164698,0.028917423777206352,0.5792436256547717,0.020809067635671235,14
1065,517000000,8.17680977224326,2.231542847164085,2.273998845996542,0.8092257159829971,0.02819150943151087,0.5863455590077864,0.02361916212792428,14
1065,635000000,8.194913707995598,2.2378023870700994,2.307689759297387,0.8160706013883975,0.010636588999278695,0.5777101604697513,0.012907633944831047,14
1065,669000000,8.184386071716068,2.2283950266830646,2.281087867626187,0.8124308510307096,0.013178217465516336,0.5827948490513285,0.011515676149822426,14
1065,869000000,7.981126302694953,2.2161946460142197,1.9663391908466075,0.8136044702707133,-0.0008780300701081478,0.5814175202515581,0.0008137341316159392,14
1066,84000000,8.111079906907147,2.2581695580188454,2.0132993494584737,0.8141109216521352,-0.028186256790101182,0.5797619002355776,-0.017466574080382446,14
1066,316000000,8.013297608208212,2.2518141522869892,1.8874685424507127,0.8206966788503871,-0.04094657956454317,0.5690124064237343,-0.031705209063813126,14
1066,449000000,7.999842071774839,2.2485649710449733,1.698754638859771,0.8087979668685475,-0.03452203072420936,0.5866067883739355,-0.02337849476757021,14
1066,483000000,7.902150613154578,2.2017415205310487,1.6303967047647152,0.8154616163711328,-0.03194663517926048,0.5773439284421773,-0.025995249894097405,14
1066,716000000,8.016534982379607,2.248544627173316,1.622618877683953,0.7976448645226513,-0.008919132683671423,0.6030516619653539,0.003436884292037108,14
1066,767000000,7.914114501667438,2.245001866928014,1.5303345108686313,0.8191632310269593,-0.010556600344821048,0.5733703809530896,-0.010323050340918216,14
1067,150000000,8.018675487134749,2.3093946689957123,1.578610231719142,0.8125554613027983,-0.0010779024987547655,0.5828827518174142,0.0003975763552452208,14
1067,267000000,7.943456714133664,2.2388207913629605,1.6328757275971353,0.8102138168974653,0.0024478278173423237,0.5861278854701302,-0.0012965036563810858,14
1067,317000000,7.978883005915696,2.2509718570418205,1.5663378771418246,0.8120066097665106,0.0020925977019884377,0.5836430378971122,-0.0013004017014923907,14
1067,366000000,7.800122153073685,2.087008499382864,1.583253763119838,0.8107602292064907,0.0005882385790679982,0.5853776214385616,-0.000738262381757391,14
1067,549000000,7.91403737917852,2.0790254126555725,1.9559374379690309,0.8309996196580685,-0.02417771657710338,0.5556576447898953,-0.00998258162046824,14
1067,616000000,7.935519231706267,2.117329776508271,1.6206253343323755,0.8107086936642894,0.0014672214401021718,0.5854472671880944,-0.0008709881623579745,14
1067,649000000,7.96189990099373,2.121816501550901,1.5729430824861672,0.801350090872757,-0.002394969979977115,0.598190307988429,0.0008070970992252249,14
1067,683000000,7.938228354001102,2.0740828889985083,1.5704660572241655,0.8062363659354375,0.0011717485802957433,0.5915917033516013,-0.0008976491713237686,14
1067,749000000,7.924184810654177,2.053592552746948,1.5212262123926983,0.8052814732965805,0.00014744977851580707,0.5928925927800096,-0.0003169391884351446,14
1067,850000000,7.956502924801869,1.9589196509848188,1.6704094666836127,0.8063995143093827,0.0018901186394790197,0.5913672985778804,-0.0009843504560623098,14
1067,900000000,7.952934315699994,1.889962139391824,1.905240207804178,0.8232390028524396,-0.027117590259213287,0.5670442165948495,-0.0017426724843462018,14
1068,33000000,7.89806578378165,1.7485554826098815,1.8628810210363071,0.8169231511309489,0.004608626583771746,0.5767227142680741,-0.0024973094637020417,14
1068,67000000,7.909948146683609,1.678545777516606,1.8399872582660568,0.8096493608102857,0.004565036283241931,0.5868907363795062,-0.002517247534405759,14
1069,149000000,8.086877623768823,1.2208804609370998,1.9546879111294908,0.8171748266534855,-0.05895076410763993,0.572662966951769,0.028411905549760155,14
1069,233000000,8.062044689118016,0.9391664928683643,0.689618311446349,0.8405416157095217,-0.04308376477379531,0.5394659915933608,0.024698692020727657,14
1069,417000000,8.033709440740488,1.0800038737164157,2.1027964952791316,0.8448127019875727,-0.05315473325995911,0.5315082529463446,0.031065252975692077,14
1069,566000000,8.050210392472575,1.016741059156423,2.042410300475855,0.8330458907399834,-0.04338297163826959,0.5510567584817636,0.02211132344822168,14
1069,816000000,8.069814312852134,1.0976520128528209,2.058502841591797,0.8330637380464017,-0.07116576781903541,0.547325650787948,0.03707929115331554,14
1071,468000000,8.07474454635691,0.7082931998547446,2.0679757372854937,0.8297861310962871,-0.03353106714455967,0.5568076659934672,0.01720079263608949,14
1076,299000000,8.138732646340067,0.4691277701355503,0.6491073597976893,0.842877673248839,-0.039875389716739436,0.5361996750358472,0.021379656802979208,14
1077,5000000,8.038996097406512,1.0429586946499558,1.9568305716434815,0.820984291366918,-0.05131233404144122,0.5672850785368873,0.03923617429588078,14
1077,383000000,8.049501808675245,1.026588443257283,2.1224842049984147,0.8435692087127143,-0.061848209039520104,0.5323135705821928,0.03475703848784574,14
1077,549000000,8.070744429538276,1.0415615438558665,2.0345912242063595,0.8289087294886263,-0.07615927247883195,0.5527476626054462,0.03975053304374684,14
1077,766000000,8.069542292762943,0.9171543293281663,2.0837174909823846,0.8336704107573351,-0.06927131493933512,0.5466796984063279,0.03655733174943187,14
1078,68000000,8.081832660449203,0.8179591285341542,2.1339877688082973,0.8394314744870076,-0.05922518954069669,0.5393008710381356,0.031650388022028256,14
