stamp_sec,stamp_nanosec,x,y,z,qx,qy,qz,qw,tag_ids,imu_stamp_sec,imu_stamp_nanosec,imu_qx,imu_qy,imu_qz,imu_qw,ang_vel_x,ang_vel_y,ang_vel_z,lin_acc_x,lin_acc_y,lin_acc_z
5704,241000000,9.686695029788607,1.1737436015435114,3.8047351979585295,0.8142788481684942,0.008948882526892582,0.5803712178824955,-0.0062549484809485785,"14,15",5704,298000000,-0.0003897012187034151,-6.431775546188545e-05,0.16247079637404807,0.9867132736118276,0.005409193659515499,-3.7567176979172055e-06,-2.618621402545925e-07,2.2426480604878247e-07,0.0003112810001793037,9.802850390220287
5704,274000000,9.695568776704366,1.1986976290801288,3.8010488658684505,0.8097668930250889,-0.0002769751733749439,0.58674267830263,0.003245258618992489,"14,15",5704,338000000,-0.0002713517741369244,-4.489945525994957e-05,0.16247079798160796,0.9867133140661847,0.0064927402262961315,-3.044888252203568e-06,-2.420575659807059e-07,1.8280760478658637e-07,0.0003773991052044238,9.802577962029913
5704,324000000,9.794065621904247,1.167792817928515,3.875236768839434,0.8077188740166266,-0.00043057908777543807,0.5895431201061077,0.005380027371450594,"14,15",5704,388000000,-0.00010103028244855876,-1.6919642553883157e-05,0.16247079764787728,0.986713347136984,0.007181711227734755,-2.1258042845740104e-06,-2.198569003516798e-07,1.4122160132428352e-07,0.0004683191306554639,10.89141531561896
5704,541000000,9.815792826814764,1.1632102745493589,4.049306904238535,0.8160001286995552,-1.3256404636772343e-05,0.5780471016510669,-0.002310424068931089,"14,15",5704,568000000,0.00048701904034359787,7.986494922246142e-05,0.1624707625009709,0.9867132348187072,0.005066498881813266,9.490345098114384e-07,-1.5436260187264804e-07,-5.29864261184735e-08,0.00030331134966714995,9.80145060723437
5704,574000000,9.80123355522872,1.1848512905032904,4.038403507559817,0.8082182275532798,-0.00020312365417477163,0.5888180860199851,0.00874739773745845,"14,15",5704,598000000,0.0005561412137771836,9.126364924375839e-05,0.1624707542985435,0.9867131986426243,0.004265508191584301,1.299487288148487e-06,-1.456059652642636e-07,-6.725051878363978e-08,0.0002333933898802168,8.910315108247794
5704,757000000,9.87586225249576,1.188936246071923,4.190122265671748,0.8078839480937895,0.0022595819647163538,0.5892809187896901,0.008149813011008197,"14,15",5704,768000000,0.0007081225047691347,0.00011645092462442146,0.16247072802458484,0.9867131029518468,-0.0005686567968600473,2.1579420203169763e-06,-1.0461644248155181e-07,-1.267203850348602e-07,-2.770848788686414e-05,9.800884126061082
5704,791000000,9.900147152756372,1.1690234899615568,4.2356550759270295,0.8152223898580766,-0.0010887754724342195,0.5791455197134937,-0.0013178155576568844,"14,15",5704,808000000,0.0006873864849434337,0.0001130798225975443,0.16247072848124816,0.986713117932232,-0.0015192345755308855,2.10383833612932e-06,-9.677913994286866e-08,-1.2398523815504263e-07,-8.423551181831711e-05,9.80080049433076
5705,7000000,9.915765443907507,1.199896910406423,4.362561863615767,0.8140658007014092,9.094211026799139e-05,0.5807722676934788,0.0006610114068958202,"14,15",5705,18000000,0.00036774246425817536,6.061687781137959e-05,0.16247074849786006,0.9867132901575915,-0.003893793299657989,9.084525929538767e-07,-6.418162714875334e-08,-5.48667456654571e-08,-0.000228310990414057,9.800472771480575
5705,42000000,9.92341670826428,1.2074258849182655,4.373505135570449,0.813446696338035,0.0001795614511540499,0.5816365731624379,0.0018266730078975164,"14,15",5705,48000000,0.0003103308360192242,5.1175676836951906e-05,0.16247075083258858,0.9867133100347422,-0.0038673663948385366,6.895558751812865e-07,-6.050444685962272e-08,-4.199925769817446e-08,-0.00022733938591660424,9.800438317970173
5705,107000000,9.929375248418385,1.2029055749046507,4.438586664909489,0.811341491977599,0.0004957540828090215,0.5845681970494326,0.002181884925639189,"14,15",5705,138000000,0.00014804006775593115,2.4470210820958108e-05,0.16247075459868512,0.986713348133834,-0.0033642848455608695,7.971827784263724e-08,-5.066379595872039e-08,-5.9611867551316155e-09,-0.00019916814946999584,9.800349345078573
5705,257000000,10.013336515695293,1.1657917487119678,4.592260601770866,0.8131732077906606,-0.00025750007427603023,0.5820197235220155,-0.0015196238072349608,"14,15",5705,268000000,-2.4403282652561374e-05,-3.941089493198056e-06,0.16247075353085788,0.9867133594089336,-0.0019451858163215478,-5.308129502736101e-07,-3.915995895742431e-08,3.051325088957471e-08,-0.00011668993823655199,9.800252045407987
5706,307000000,10.303594956805096,0.7048377913997489,4.741778855251594,0.812167016896038,-0.00030527560952467485,0.5834095026188144,0.004242137086483397,"14,15",5706,328000000,3.251690036567288e-05,5.365770000774445e-06,0.162470744995204,0.9867133605736588,-0.000502201611582815,7.631798861401423e-08,-4.74636363526147e-09,-4.684656954911449e-09,-2.9564461247989175e-05,9.800017743017772
5706,375000000,10.313873785987434,0.6897871383158023,4.8086137677126555,0.8119839180165767,0.0008536240771534699,0.5836778713148674,0.0012372330942090183,14,5706,398000000,1.6056340742881932e-05,2.656935319266472e-06,0.16247074490933378,0.9867133610039649,-0.00044542727974461937,1.2197077126318819e-08,-4.1275547581039465e-09,-8.116354564415115e-10,-2.397412958923421e-05,8.909104438486974
5719,157000000,10.012215166326405,1.6395039578423876,5.286887062892072,0.8175072193182258,0.0031804069019287294,0.57588511171632,-0.0053074926285487725,14,5719,168000000,0.007087740476087187,-0.00011421426339247547,-0.01570973281896151,0.99985146656131,0.2492191130194844,1.3443356761813803e-05,-8.615198800939616e-08,-6.477528689755995e-07,0.011981928510979484,9.800427226437096
5719,691000000,10.540082143261678,1.6738847345978805,2.556767924300578,0.6965146194015764,-0.031877633667997896,0.7165906449389915,-0.0186828535702141,15,5719,698000000,0.04556509373314827,-0.0007149834042997835,-0.015693801519383935,0.9988378324961922,-0.16850862914196799,7.175781072139148e-07,-9.225902109722474e-07,-4.554842376273266e-08,-0.008589685424141402,9.833076677420776
5723,307000000,10.638408921070273,1.6399910485872702,2.437555989114498,0.6981792688086936,-0.00577866004727825,0.7158846259991435,0.004638744645052714,15,5723,318000000,0.00013695137614192553,0.002869425613985132,-0.014894713554477038,0.9998849409552563,0.0003055826110135713,-0.015082947939253761,0.00012963021072323375,0.0006804760057382009,1.5522875010222283e-05,9.81220722606158
5723,807000000,10.299247672725738,1.1546688919637431,1.824821132899333,0.7099511747559059,-0.0024036456931356576,0.7041958288678729,-0.008472694682362595,15,5723,828000000,-8.942424598863619e-05,-0.006469278559025764,-0.014874022906956724,0.9998684432868123,-0.000400772777564409,0.0007957942582961419,5.207928481768444e-05,-1.4829573516866867e-05,-1.986930681112278e-05,9.803940365532878
5805,841000000,8.208015613084338,1.1165401881082297,6.0604408093160345,0.6959216137317937,0.009448082220452304,0.7180538671726169,-0.0015764268906666855,,5805,861000000,-0.0026863492688162884,4.1475462078423144e-05,-0.015436234754040086,0.999877244697573,-0.054533507338561174,-9.879669382833849e-09,-4.168041923286987e-09,5.523523260411896e-10,-0.0032285722405839545,9.80800031117836
5806,708000000,8.252284664401621,0.5120442800228291,0.8455957722101393,0.7006848696457707,-0.002381221976239731,0.7133283595108447,-0.014060396472226146,14,5806,711000000,0.0003320057888799157,-5.125791031031999e-06,-0.015436290478896211,0.9998807982365366,0.011845902895337032,7.621514528700652e-09,-8.578261000118644e-10,-4.4869793241976343e-10,0.0007163162918351331,9.801062104486663
