measurement_sec,measurement_nanosec,publish_sec,publish_nanosec,x,y,z,qx,qy,qz,qw,tag_ids
118,607000000,0,0,8.733679012613077,-0.3757872662948728,5.612862669060202,0.7068655940276107,0.02990936179274345,0.7056606607714887,0.03859396192009342,
118,607000000,1764680758,323379400,8.680535112231663,0.11052614842076255,5.61963539124198,0.7045566752224656,0.008552773615093915,0.7095846777020594,-0.0040406228998337,14
119,621000000,1764680759,325304990,9.987950938553679,2.1470250734002057,-0.041400145228450924,0.7059522399585121,0.01588108905355307,0.7079396756969467,-0.0141647972853152,"14,15"
481,487000000,1764681122,201042475,10.109457385070076,2.249899399810685,0.02084451608933713,0.7299103900301892,-0.030824021173584026,0.6827400169477461,0.012114928925041185,15
482,471000000,1764681123,191410185,10.149982551489291,2.150047290184765,1.8858929352011322,0.7127067171009122,-0.0010972024135684046,0.7014148149642977,0.008073964001902384,15
488,972000000,1764681129,698570597,10.269943906454497,1.1722191619766662,1.377109893579093,0.7332327168801759,-0.03562027175331373,0.6790391738813293,0.0026037417878056104,15
489,622000000,1764681130,348544656,10.286444375889669,1.1622392576088387,1.535692135886758,0.7320795576264637,-0.03240280140825122,0.6804221150647929,0.005943491994797698,"14,15"
607,972000000,1764681249,373479128,10.285010125820428,1.1618319976303426,1.5361901018818904,0.7323903442987985,-0.032979599510233555,0.6800582638110345,0.006122696820313865,"14,15"
608,37000000,1764681249,417705411,10.290968849719789,1.168674071947929,1.5363174553230468,0.7311071492139747,-0.03703553996321875,0.6812246882392642,0.006605246487830622,"14,15"
608,76000000,1764681249,460607645,10.293375575059983,1.1687477562382758,1.535780978757008,0.7299343215622341,-0.0375974486261203,0.6824502283692041,0.006633540616323371,"14,15"
608,105000000,1764681249,504004500,10.289735977575173,1.1673294313851579,1.5384951449673856,0.7323850154323212,-0.035596982519330814,0.6799304881430017,0.006290890186327638,"14,15"
608,171000000,1764681249,556550753,10.29090098984543,1.172446769311441,1.5385863629117975,0.7321092771665774,-0.03919858133385318,0.6800209876247845,0.007136798852260567,"14,15"
608,238000000,1764681249,620335673,10.28704693016524,1.175712288375959,1.5403104641788667,0.7349172713183268,-0.03886987153878371,0.6770061957869918,0.0069532920698366155,"14,15"
608,338000000,1764681249,721040725,10.292973307021594,1.174454339037282,1.5391761304352476,0.73155434597252,-0.04009145951367418,0.6805654931274339,0.007177975131924656,"14,15"
608,371000000,1764681249,753274713,10.284633958986745,1.171947473782744,1.5386578054791893,0.7342851427709197,-0.03737009949020883,0.6777766798631104,0.006897608550851812,"14,15"
608,406000000,1764681249,785189915,10.102541165788345,2.1775319698241176,2.0329943266984807,0.7066392468789107,0.000938005268736892,0.7075446835732496,0.006373041954341537,"14,15"
686,154000000,1764681327,733564207,10.120793122138284,2.1872831237418193,2.041022745087041,0.7096399661972443,-0.0012352075290904753,0.7044920238495979,0.010029006442889605,15
686,305000000,1764681327,892730503,10.120965553331347,2.183940389672983,2.0445212979424308,0.710407510971711,-0.0008434726213709055,0.703731313608129,0.009093687716888812,15
686,387000000,1764681327,981648721,10.096335050458572,2.19342528557442,2.016292362798198,0.7024922486742744,-0.0002717597995081828,0.7116325693392155,0.009146198928486421,15
974,437000000,0,0,10.288702147202509,1.1087226425781342,1.540200133035989,0.7397170360070261,-0.007116694697346117,0.6728793221307203,0.0012153791453407459,
974,437000000,1764681616,574314416,10.19880778061802,0.5624560669891646,0.9115103440787585,0.7343661299979377,-0.05722209444457234,0.6760745567350749,-0.0188470887592837,"14,15"
981,437000000,1764681623,588770043,9.632087679778325,2.817627562521225,1.4199839931085603,0.7141164828640435,-0.01938325859194429,0.6994456564605533,0.020921564155471556,"14,15"
1113,688000000,1764681756,212950641,9.568466385426948,2.74632092127494,1.5000851443744172,0.7281634621690503,-0.007449409290418676,0.6853105155613609,0.008483862577119519,15
1113,740000000,1764681756,262186332,9.62396743872251,1.7854906741311238,0.9819928582988922,0.7355056226674586,-0.031305678559422734,0.676784344772829,0.003792648797413335,15
1114,604000000,1764681757,131493283,9.605939315495792,2.7891170750638583,1.429041658491115,0.715958953775339,-0.014260874919286145,0.697810602169092,0.01611730299608237,"14,15"
1206,542000000,1764681849,581013341,9.577238320528581,2.754558099371412,1.4630229102489285,0.7219690882889768,-0.008787928864895071,0.6917894192153898,0.010526505739455948,15
1206,571000000,1764681849,598896032,9.638271141629218,1.8063222895640703,0.9783135576628536,0.7338969451877236,-0.03919129041916873,0.6781116084756309,0.004895206839383419,15
1207,421000000,1764681850,447267148,9.629238558372181,1.8161162700325564,0.9715886914374265,0.7369154767324663,-0.041851826678711464,0.6746677555050363,0.005236834694119571,"14,15"
1323,739000000,1764681967,111614460,9.56215775307916,2.7382169843279875,1.4885912437448572,0.7261377647267303,-0.006156407208137897,0.6874840063137203,0.007196273396100225,"14,15"
1399,438000000,1764682042,967282869,9.611002946374333,2.789842942713193,1.4051422866752652,0.7118065133664752,-0.014693675165243654,0.7020175402471194,0.01693979411280879,15
1400,523000000,1764682044,44635104,9.619081660860422,2.800911931542238,1.4119268092861943,0.7127243669032752,-0.016669993777490313,0.7010080739391837,0.0182693295405099,15
1401,154000000,1764682044,675699798,9.620375837436146,2.8041960190132054,1.4244021336286496,0.7150426938114789,-0.017013794485447986,0.6986218585691985,0.01876101152255468,15
1401,238000000,1764682044,768740366,9.615092123896295,2.8003638104399493,1.436096583812882,0.7170654405099085,-0.016244054006661193,0.6965899057844944,0.017770421911385396,15
1401,272000000,1764682044,804900683,9.627459993445182,2.811473655151629,1.4174970192188434,0.713617101961091,-0.018483697101138494,0.7000097896009552,0.019881629534660196,15
1401,387000000,1764682044,919657907,9.63305221810059,2.8193548804210202,1.4286857917029143,0.7156010435422067,-0.019784398422957435,0.6979093110683678,0.02112622977301959,15
1401,487000000,1764682045,12605138,9.619870062920713,2.8075931808021966,1.4466151852526703,0.718829321544628,-0.017372567271302482,0.6947196989429265,0.018631701337865455,15
1401,555000000,1764682045,79951469,9.619870062920713,2.8075931808021966,1.4466151852526703,0.718829321544628,-0.017372567271302482,0.6947196989429265,0.018631701337865455,15
1401,588000000,1764682045,112074542,9.634591576381723,2.819899969354183,1.4139101560922436,0.7128536824094697,-0.01991104768478643,0.7007119559164728,0.021117113701075482,15
1723,140000000,0,0,9.464318992437592,2.7156073804541734,1.6043176499108152,0.6513310685560838,-0.012670313892422428,0.7585039341259562,0.016705813206916564,
1762,591000000,0,0,9.311444197737291,1.5477870129632785,1.0022572205467157,0.6549323394679553,-0.005663669086496809,0.7556642957205163,0.0017394667934739379,"14,15"
1863,541000000,0,0,9.304257655988446,2.1481802815016935,0.9880024535128309,0.6552179400797661,-0.003030192771153885,0.755432955506618,0.0011483309338393686,"14,15"
1863,541000000,0,0,9.524684300073204,2.6759115331329437,1.6422032141278897,0.6534428471366645,-0.002557381727579892,0.7569630844643678,0.0035768817172850947,"14,15"
1871,90000000,1871,100000000,9.546387626353717,2.1736654103929407,1.0462628434287917,0.6585433440066826,-0.022054094106163474,0.7520319900135946,0.016797827057256312,15
1871,190000000,1871,200000000,9.417723593460337,2.1369082530985057,1.0075857228339586,0.6462204718346534,-0.009053024347636489,0.7630902467221935,0.0032279853501547334,"14,15"
